,0,0.5,1,1.5,2,3,4,5
60,0.003,0.003,0.002,0.002,0.002,0.002,0.001,0.001
66,0.006,0.006,0.005,0.005,0.004,0.003,0.003,0.002
70,0.012,0.011,0.01,0.009,0.008,0.006,0.005,0.004
73,0.02,0.018,0.017,0.015,0.013,0.011,0.009,0.007
75,0.031,0.028,0.025,0.023,0.021,0.017,0.014,0.011
76,0.039,0.035,0.032,0.029,0.026,0.021,0.017,0.014
77,0.05,0.045,0.041,0.037,0.033,0.027,0.022,0.018
78,0.065,0.059,0.054,0.049,0.044,0.036,0.03,0.024
78.5,0.075,0.068,0.062,0.056,0.051,0.042,0.034,0.028
79,0.087,0.079,0.072,0.065,0.059,0.049,0.04,0.033
79.5,0.102,0.093,0.085,0.077,0.07,0.058,0.047,0.039
79.75,0.111,0.101,0.092,0.083,0.076,0.063,0.052,0.043
80,0.121,0.11,0.1,0.091,0.083,0.068,0.056,0.047
