Time,fil_e,se_f,fil_n,sn_f,fil_ev,sev_f,fil_nv,snv_f,smo_e,se_s,smo_n,sn_s,smo_ev,sev_s,smo_nv,snv_s
0,-9.820000,10.000000,0.060000,10.000000,3.530000,3.000000,0.860000,3.000000,-2.808066,1.795754,1.624741,2.081276,4.833037,0.267691,2.554815,0.309193
2,10.051200,2.876384,5.065056,2.903707,5.053768,0.779440,1.252944,2.532695,6.859969,1.496170,6.737929,1.678597,4.834531,0.228153,2.558268,0.275980
4,17.895222,2.150347,9.532762,2.680356,4.684276,0.503325,2.083468,1.505641,16.542198,1.282483,11.857196,1.377775,4.850245,0.199555,2.559823,0.242028
6,24.412063,1.883902,20.392859,2.501884,4.153610,0.394462,3.966181,0.870273,26.297456,1.136594,16.975948,1.181473,4.907373,0.180528,2.556161,0.210500
8,33.689743,1.779033,26.141086,2.193881,4.340360,0.351258,3.552425,0.528339,36.179944,1.042616,22.080725,1.073034,4.974226,0.168389,2.549645,0.184458
10,44.433701,1.732321,28.982607,2.062542,4.658292,0.317433,2.867445,0.407510,46.168454,0.987893,27.163613,1.021893,5.012106,0.158369,2.536197,0.167991
12,53.825774,1.687345,33.917164,1.974566,4.720841,0.285848,2.789451,0.348284,56.229123,0.959620,32.242312,1.000772,5.046629,0.150887,2.544275,0.158707
14,64.785844,1.649324,36.880579,1.900455,4.862363,0.266001,2.440803,0.313746,66.337560,0.946179,37.345251,0.992892,5.057373,0.146338,2.560598,0.153669
16,76.331560,1.613406,41.678147,1.844916,5.162211,0.252215,2.472175,0.295827,76.479631,0.939928,42.509654,0.989607,5.081160,0.143598,2.603425,0.151482
18,86.774978,1.584616,46.265427,1.803725,5.115087,0.244421,2.404498,0.286351,86.598698,0.936639,47.729832,0.987515,5.035821,0.142225,2.615692,0.150631
20,97.872488,1.562944,50.142247,1.774449,5.205652,0.240341,2.303557,0.281570,96.646499,0.934430,52.980205,0.985816,5.011006,0.141605,2.632523,0.150404
22,107.312892,1.546175,56.351582,1.755736,5.089143,0.237808,2.467906,0.279789,106.639937,0.932658,58.243562,0.984766,4.983646,0.141351,2.625580,0.150412
24,116.874007,1.536728,63.189938,1.742333,4.991151,0.237619,2.654511,0.278275,116.589880,0.931207,63.465143,0.984831,4.966927,0.141490,2.591432,0.150247
26,124.709933,1.533457,68.532444,1.731815,4.724616,0.238698,2.635605,0.276698,126.521879,0.930338,68.601864,0.986077,4.965804,0.141763,2.543355,0.149994
28,134.802920,1.533975,72.465653,1.723740,4.793629,0.239912,2.492507,0.275448,136.485233,0.930381,73.650967,0.988148,4.993511,0.141995,2.503582,0.149817
30,144.789110,1.533775,80.107039,1.720132,4.827178,0.239690,2.772309,0.275600,146.491603,0.931522,78.609186,0.990463,5.008431,0.142191,2.449781,0.149880
32,155.568499,1.536583,84.971748,1.715848,4.879757,0.240725,2.659626,0.274631,156.500035,0.933953,83.440207,0.992389,4.995898,0.142858,2.381637,0.150124
34,165.624529,1.537840,90.403972,1.714105,4.906592,0.240579,2.668876,0.274687,166.491041,0.938488,88.155251,0.993482,4.993316,0.143909,2.334834,0.151465
36,175.918783,1.538594,94.869946,1.713256,4.896796,0.240420,2.541321,0.274730,176.461381,0.946843,92.786553,0.994876,4.975253,0.146002,2.299853,0.154698
38,187.224479,1.537684,97.433680,1.714001,5.101036,0.239742,2.291127,0.275217,186.414096,0.962580,97.384480,1.001257,4.976920,0.149752,2.302343,0.161326
40,195.971875,1.532951,102.251457,1.717915,4.936913,0.237794,2.314263,0.276754,196.343230,0.992193,101.991188,1.023895,4.953758,0.156175,2.304950,0.172948
42,206.234422,1.529559,105.460234,1.720913,4.920930,0.237233,2.134192,0.277197,206.239425,1.046355,106.611368,1.082981,4.941178,0.166897,2.316007,0.190526
44,216.384734,1.525142,110.014117,1.724756,4.974751,0.236221,2.173755,0.278020,216.141415,1.140471,111.270293,1.205440,4.960806,0.182946,2.341241,0.214741
46,225.884663,1.521771,116.139937,1.727737,4.969469,0.235807,2.384173,0.278359,226.075774,1.292815,115.965088,1.416219,4.974057,0.205832,2.351314,0.244498
48,236.014466,1.521451,120.661358,1.727974,4.963927,0.236573,2.345076,0.277686,236.014466,1.521451,120.661358,1.727974,4.963927,0.236573,2.345076,0.277686
